sura,books_revelation,commerce_economics,communication,creation_nature,divine_attributes,emotions_states,faith_belief,family_relations,knowledge_wisdom,moral_conduct,movement_direction,natural_elements,social_justice,time_temporal,uncategorized,worship_ritual
1,0.0,0.043478260869565216,0.0,0.0,0.2608695652173913,0.043478260869565216,0.0,0.0,0.0,0.0,0.0,0.043478260869565216,0.0,0.043478260869565216,0.5217391304347826,0.043478260869565216
2,0.021627188465499485,0.01416065911431514,0.042996910401647784,0.03192584963954686,0.047116374871266735,0.010556127703398558,0.015447991761071062,0.009783728115345005,0.0025746652935118436,0.009011328527291453,0.006694129763130793,0.011071060762100926,0.021112255406797117,0.008238928939237899,0.721936148300721,0.025746652935118436
3,0.025945470536499562,0.006596306068601583,0.04221635883905013,0.032541776605101144,0.04001759014951627,0.014072119613016711,0.02198768689533861,0.008795074758135445,0.001759014951627089,0.010554089709762533,0.009674582233948988,0.010554089709762533,0.015391380826737027,0.009234828496042216,0.7352682497801232,0.015391380826737027
4,0.01868399675060926,0.010154346060113728,0.0239642567018684,0.05970755483346873,0.041429731925264016,0.006498781478472786,0.019090170593013808,0.019090170593013808,0.0012185215272136475,0.006498781478472786,0.006498781478472786,0.005280259951259139,0.018277822908204712,0.004061738424045491,0.7473598700243704,0.012185215272136474
5,0.02614015572858732,0.0055617352614015575,0.040600667408231365,0.03114571746384872,0.04338153503893215,0.013904338153503892,0.018909899888765295,0.008898776418242492,0.0016685205784204673,0.01167964404894327,0.008342602892102336,0.008898776418242492,0.01946607341490545,0.008342602892102336,0.739154616240267,0.013904338153503892
6,0.023638232271325797,0.006166495375128468,0.0539568345323741,0.051901336073997946,0.0421377183967112,0.007708119218910586,0.0210688591983556,0.007194244604316547,0.0035971223021582736,0.01593011305241521,0.0041109969167523125,0.014388489208633094,0.024152106885919837,0.007708119218910586,0.697841726618705,0.018499486125385406
7,0.011194029850746268,0.0018656716417910447,0.06203358208955224,0.05363805970149254,0.028917910447761194,0.0065298507462686565,0.007462686567164179,0.007462686567164179,0.002798507462686567,0.012593283582089552,0.0065298507462686565,0.012126865671641791,0.025652985074626867,0.009328358208955223,0.7276119402985075,0.024253731343283583
8,0.008717310087173101,0.0112079701120797,0.014943960149439602,0.039850560398505604,0.049813200498132,0.0062266500622665,0.021170610211706103,0.0037359900373599006,0.007471980074719801,0.0024906600249066002,0.009962640099626401,0.0037359900373599006,0.0186799501867995,0.0037359900373599006,0.7858032378580324,0.012453300124533
9,0.00850546780072904,0.020656136087484813,0.026731470230862697,0.03462940461725395,0.043134872417982986,0.01761846901579587,0.026731470230862697,0.007897934386391251,0.0054678007290400975,0.007897934386391251,0.00425273390036452,0.006075334143377886,0.010328068043742407,0.007290400972053463,0.7551640340218712,0.01761846901579587
10,0.015943312666076175,0.005314437555358724,0.054030115146147036,0.06023029229406555,0.0283436669619132,0.0070859167404783,0.01948627103631532,0.001771479185119575,0.005314437555358724,0.01771479185119575,0.006200177147918512,0.013286093888396812,0.03897254207263064,0.010628875110717449,0.6970770593445527,0.018600531443755536
11,0.011187607573149742,0.0,0.06110154905335628,0.03270223752151463,0.0378657487091222,0.006024096385542169,0.010327022375215147,0.010327022375215147,0.0017211703958691911,0.006024096385542169,0.00774526678141136,0.012908777969018933,0.025817555938037865,0.01721170395869191,0.7401032702237521,0.0189328743545611
12,0.012433392539964476,0.0017761989342806395,0.07460035523978685,0.03907637655417407,0.056838365896980464,0.006216696269982238,0.006216696269982238,0.008880994671403197,0.004440497335701598,0.014209591474245116,0.022202486678507993,0.0053285968028419185,0.007104795737122558,0.003552397868561279,0.7264653641207816,0.010657193605683837
13,0.02664298401420959,0.007104795737122558,0.037300177619893425,0.023090586145648313,0.037300177619893425,0.008880994671403197,0.02664298401420959,0.007104795737122558,0.0053285968028419185,0.0,0.010657193605683837,0.023090586145648313,0.015985790408525755,0.003552397868561279,0.7495559502664298,0.017761989342806393
14,0.007194244604316547,0.007194244604316547,0.039568345323741004,0.0341726618705036,0.03237410071942446,0.00539568345323741,0.02158273381294964,0.0035971223021582736,0.0,0.00539568345323741,0.008992805755395683,0.02877697841726619,0.02158273381294964,0.014388489208633094,0.7392086330935251,0.030575539568345324
15,0.024390243902439025,0.004878048780487805,0.08048780487804878,0.07073170731707316,0.04878048780487805,0.0024390243902439024,0.007317073170731708,0.007317073170731708,0.004878048780487805,0.007317073170731708,0.004878048780487805,0.014634146341463415,0.012195121951219513,0.01707317073170732,0.6634146341463415,0.02926829268292683
16,0.013513513513513514,0.002533783783783784,0.02195945945945946,0.05320945945945946,0.0472972972972973,0.0059121621621621625,0.018581081081081082,0.004222972972972973,0.004222972972972973,0.011824324324324325,0.01097972972972973,0.013513513513513514,0.016891891891891893,0.010135135135135136,0.7508445945945946,0.014358108108108109
17,0.019175455417066157,0.0019175455417066154,0.05560882070949185,0.0738255033557047,0.0364333652924257,0.0028763183125599234,0.011505273250239693,0.00862895493767977,0.0028763183125599234,0.012464046021093002,0.005752636625119847,0.009587727708533078,0.014381591562799617,0.011505273250239693,0.7046979865771812,0.028763183125599234
18,0.011352885525070956,0.002838221381267739,0.07473982970671712,0.05392620624408704,0.02459791863765374,0.0,0.01608325449385052,0.006622516556291391,0.002838221381267739,0.002838221381267739,0.013245033112582781,0.011352885525070956,0.021759697256385997,0.008514664143803218,0.727530747398297,0.021759697256385997
19,0.0182648401826484,0.0,0.0684931506849315,0.0898021308980213,0.0441400304414003,0.0076103500761035,0.0076103500761035,0.0182648401826484,0.0,0.0091324200913242,0.0045662100456621,0.0106544901065449,0.0106544901065449,0.0213089802130898,0.639269406392694,0.0502283105022831
